table_idx,class,mangled,demangled,rva_1.0.65,match_status,rva_1.0.68,size_1.0.68,offset_into_fn
0,AABB2D,?_CONSTRUCTOR@AABB2D@@QEAAPEAV1@AEBVVector4@Ogre@@@Z,,0x8F3760,NEAR,0x8F3790,200,48
1,AABB2D,?_CONSTRUCTOR@AABB2D@@QEAAPEAV1@XZ,,0xA1C880,NEAR,0xA1C750,122,-304
24,AbstractMovementBase,?_NV_pathFailed@AbstractMovementBase@@QEBA_NXZ,,0x664660,REFINED,0x664620,5,-64
25,AbstractMovementBase,?_NV_update@AbstractMovementBase@@QEAAXM@Z,,0x65E4F0,VTABLE,0x1D449,5,-6557863
26,AbstractMovementBase,?_NV_isDestinationReached@AbstractMovementBase@@QEBA_NXZ,,0x664670,REFINED,0x664620,5,-80
27,AbstractMovementBase,?_NV_amInsideTownWalls@AbstractMovementBase@@QEAAHXZ,,0x664680,VTABLE,0x3968,5,-6688024
28,AbstractMovementBase,?_NV_manualMovement@AbstractMovementBase@@QEAAXAEBVVector3@Ogre@@@Z,,0x65D370,VTABLE,0x49657,5,-6372633
29,AbstractMovementBase,?_NV_setDestination@AbstractMovementBase@@QEAAXPEAVBuilding@@W4UpdatePriority@@@Z,,0x6646A0,VTABLE,0x426A4,5,-6430716
30,AbstractMovementBase,?_NV_setDestination@AbstractMovementBase@@QEAAXPEAVCharacter@@W4UpdatePriority@@@Z,,0x664690,VTABLE,0x4D036,5,-6387290
31,AbstractMovementBase,?_NV_setDestination@AbstractMovementBase@@QEAAXPEAVRootObjectBase@@W4UpdatePriority@@@Z,,0x65D8E0,VTABLE,0x1F42E,5,-6546610
32,AbstractMovementBase,?_NV_setDestination@AbstractMovementBase@@QEAAXAEBVVector3@Ogre@@W4UpdatePriority@@_N@Z,,0x65F160,VTABLE,0x21B48,5,-6542872
33,AbstractMovementBase,?_NV_halt@AbstractMovementBase@@QEAAXXZ,,0x65D880,VTABLE,0x50DE9,5,-6343319
34,AbstractMovementBase,?setRoadDestination@AbstractMovementBase@@QEAA_NAEBVVector3@Ogre@@@Z,AbstractMovementBase::setRoadDestination(const class Ogre::Vector3 &);,0x65EEB0,BINDIFF_EXACT,0x65F940,174,2704
35,AbstractMovementBase,?setRoadPreference@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setRoadPreference(float);,0x663AA0,RESOLVED,0x41A97,5,-6430729
36,AbstractMovementBase,?extractRoadFollower@AbstractMovementBase@@QEAAPEAVRoadFollower@@XZ,AbstractMovementBase::extractRoadFollower();,0x65D940,BINDIFF_EXACT,0x65E3D0,279,2704
37,AbstractMovementBase,?setCurrentRoadFollower@AbstractMovementBase@@QEAAXAEBVVector3@Ogre@@PEAVRoadFollower@@@Z,"AbstractMovementBase::setCurrentRoadFollower(const class Ogre::Vector3 &, class RoadFollower *);",0x65F470,BINDIFF_EXACT,0x65FF00,1920,2704
38,AbstractMovementBase,?_NV_setPatrolInput@AbstractMovementBase@@QEAAXAEAVPatrolInfo@@@Z,,0x6646B0,VTABLE,0xB6E5,5,-6655947
39,AbstractMovementBase,?_NV_setDesiredSpeed@AbstractMovementBase@@QEAAXW4MoveSpeed@@@Z,,0x6646C0,VTABLE,0x2F8C4,5,-6508028
40,AbstractMovementBase,?setDesiredSpeed@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setDesiredSpeed(float);,0x3332B0,EXACT,0x3332B0,51,0
41,AbstractMovementBase,?setDesiredSpeedOrders@AbstractMovementBase@@QEAAXW4MoveSpeed@@@Z,AbstractMovementBase::setDesiredSpeedOrders(enum MoveSpeed);,0x3320D0,NEAR,0x332130,25,96
42,AbstractMovementBase,?setDesiredSpeedOrders@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setDesiredSpeedOrders(float);,0x335F70,REFINED,0x335F00,77,-112
43,AbstractMovementBase,?setStandardWalkSpeed@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setStandardWalkSpeed(float);,0x620540,UNRESOLVED,0x0,0,0
44,AbstractMovementBase,?getStandardWalkSpeed@AbstractMovementBase@@QEAAMXZ,AbstractMovementBase::getStandardWalkSpeed();,0x333260,REFINED,0x3331F0,89,-112
45,AbstractMovementBase,?restoreDesiredSpeed@AbstractMovementBase@@QEAAXXZ,AbstractMovementBase::restoreDesiredSpeed();,0x3334B0,NEAR,0x333500,149,80
46,AbstractMovementBase,?setMaxSpeed@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setMaxSpeed(float);,0x663AF0,ORDERED,0x6649D0,46,3808
47,AbstractMovementBase,?getMaxSpeed@AbstractMovementBase@@QEBAMXZ,AbstractMovementBase::getMaxSpeed();,0x805CA0,ORDERED,0x806A70,11,3536
48,AbstractMovementBase,?isCurrentlyMoving@AbstractMovementBase@@QEBA_NXZ,AbstractMovementBase::isCurrentlyMoving();,0x333CA0,REFINED,0x333C60,3,-64
49,AbstractMovementBase,?getCurrentSpeed@AbstractMovementBase@@QEBAMXZ,AbstractMovementBase::getCurrentSpeed();,0x2AE010,EXACT,0x2AE010,24,0
50,AbstractMovementBase,?getCurrentMotion@AbstractMovementBase@@QEBA?AVVector3@Ogre@@XZ,AbstractMovementBase::getCurrentMotion();,0x5C6DB0,INSIDE,0x5C6D20,403,144
51,AbstractMovementBase,?getCurrentSpeedRelativeToMax01@AbstractMovementBase@@QEBAMXZ,AbstractMovementBase::getCurrentSpeedRelativeToMax01();,0x5C6DE0,INSIDE,0x5C6D20,403,192
52,AbstractMovementBase,?getSpeedOrders@AbstractMovementBase@@QEBA?AW4MoveSpeed@@XZ,AbstractMovementBase::getSpeedOrders();,0x3320E0,NEAR,0x332130,25,80
53,AbstractMovementBase,?leaveSpeedGroup@AbstractMovementBase@@QEAAXXZ,AbstractMovementBase::leaveSpeedGroup();,0x662100,BINDIFF_EXACT,0x662B90,1364,2704
54,AbstractMovementBase,?_NV_onShapeHit@AbstractMovementBase@@QEAA?AW4NxControllerAction@@AEBUNxControllerShapeHit@@@Z,,0x664710,VTABLE,0x2FA95,5,-6507643
55,AbstractMovementBase,?_NV_onControllerHit@AbstractMovementBase@@QEAA?AW4NxControllerAction@@AEBUNxControllersHit@@@Z,,0x664720,VTABLE,0x1D926,5,-6581754
56,ActivePlatoon,?_NV_loadFromDisk@ActivePlatoon@@QEAA_N_NPEAVSerialisable@@@Z,,0x36B520,VTABLE,0x1DA2A,5,-3463926
57,ActivePlatoon,?_recalculateIsIntact@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::_recalculateIsIntact();,0x79A150,BINDIFF_EXACT,0x79ACF0,0,2976
58,ActivePlatoon,?isAnyoneCaptured@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::isAnyoneCaptured();,0x799FA0,BINDIFF_EXACT,0x79AB40,0,2976
59,ActivePlatoon,?_DESTRUCTOR@ActivePlatoon@@QEAAXXZ,,0x4FE4B0,VTABLE,0x682F,5,-5209217
60,ActivePlatoon,?getGroupSense@ActivePlatoon@@QEAAPEAVGroupSense@@XZ,ActivePlatoon::getGroupSense();,0x850CE0,UNRESOLVED,0x0,0,0
61,ActivePlatoon,?getMemory@ActivePlatoon@@QEAAPEAVCharacterMemory@@XZ,ActivePlatoon::getMemory();,0x285660,EXACT,0x285660,3,0
62,ActivePlatoon,?_NV_removeObject@ActivePlatoon@@QEAA_NPEAVRootObject@@@Z,,0x794C00,VTABLE,0x159CE,5,-7860786
63,ActivePlatoon,?_NV_addActiveObject@ActivePlatoon@@QEAA_NPEAVRootObject@@@Z,,0x7966A0,VTABLE,0x1B3B5,5,-7844587
64,ActivePlatoon,?addCharacterAt@ActivePlatoon@@QEAAXPEAVRootObject@@H@Z,"ActivePlatoon::addCharacterAt(class RootObject *, int);",0x795A80,BINDIFF_EXACT,0x796620,897,2976
65,ActivePlatoon,?swapCharacters@ActivePlatoon@@QEAAXHH@Z,"ActivePlatoon::swapCharacters(int, int);",0x7922C0,BINDIFF_EXACT,0x792E60,56,2976
66,ActivePlatoon,?emptySquadCheck@ActivePlatoon@@QEAAXXZ,ActivePlatoon::emptySquadCheck();,0x799F70,BINDIFF_EXACT,0x79AB10,0,2976
67,ActivePlatoon,?clearAllTheUniqueNPCStates@ActivePlatoon@@QEAAXXZ,ActivePlatoon::clearAllTheUniqueNPCStates();,0x4FECD0,BINDIFF_EXACT,0x4FF760,376,2704
68,ActivePlatoon,?isIntact@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::isIntact();,0x7A5040,BINDIFF_EXACT,0x7A5BE0,3313,2976
69,ActivePlatoon,?getCharactersInArea@ActivePlatoon@@QEAAXAEAV?$lektor@PEAVRootObject@@@@AEBVVector3@Ogre@@M_N@Z,"ActivePlatoon::getCharactersInArea(class lektor<RootObject *> &, const class Ogre::Vector3 &, float, bool);",0x6B9C80,BINDIFF_EXACT,0x6B9FD0,156,848
70,ActivePlatoon,?getSquadLeader_theRealOne@ActivePlatoon@@QEAAPEAVCharacter@@XZ,ActivePlatoon::getSquadLeader_theRealOne();,0x595B00,RESOLVED,0x595990,265,-368
71,ActivePlatoon,?getNearestActiveCharacter@ActivePlatoon@@QEAAPEAVCharacter@@AEBVVector3@Ogre@@H@Z,"ActivePlatoon::getNearestActiveCharacter(const class Ogre::Vector3 &, int);",0x792140,BINDIFF_EXACT,0x792CE0,73,2976
72,ActivePlatoon,?getSquadLeader@ActivePlatoon@@QEAAPEAVCharacter@@XZ,ActivePlatoon::getSquadLeader();,0x791FF0,BINDIFF_GOOD,0x792B90,319,2976
73,ActivePlatoon,?getSquadSize@ActivePlatoon@@QEBAHXZ,ActivePlatoon::getSquadSize();,0x419B90,NEAR,0x419D10,86,384
74,ActivePlatoon,?setSquadLeader@ActivePlatoon@@QEAAXPEAVCharacter@@@Z,ActivePlatoon::setSquadLeader(class Character *);,0x790C00,BINDIFF_EXACT,0x7917A0,105,2976
75,ActivePlatoon,?_NV_update@ActivePlatoon@@QEAA_NXZ,,0x4FF930,VTABLE,0x547F,5,-5219505
76,ActivePlatoon,?refreshInventory@ActivePlatoon@@QEAAX_N@Z,ActivePlatoon::refreshInventory(bool);,0x4FEB50,EXACT,0x4FEB50,109,0
77,ActivePlatoon,?_forceRefreshInventory@ActivePlatoon@@QEAAXXZ,ActivePlatoon::_forceRefreshInventory();,0x4FDEE0,BINDIFF_EXACT,0x4FE970,50,2704
78,ActivePlatoon,?_NV_periodicUpdate@ActivePlatoon@@QEAA_NXZ,,0x4FE5D0,VTABLE,0xD904,5,-5180620
79,ActivePlatoon,?serialiseEverythingToDisk@ActivePlatoon@@QEAAX_N@Z,ActivePlatoon::serialiseEverythingToDisk(bool);,0x4FEB10,BINDIFF_EXACT,0x4FF5A0,112,2704
80,ActivePlatoon,?isWholeSquadDown@ActivePlatoon@@QEAA_NH@Z,ActivePlatoon::isWholeSquadDown(int);,0x7925C0,BINDIFF_GOOD,0x793160,166,2976
81,ActivePlatoon,?setDataFilename@ActivePlatoon@@QEAAXAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"ActivePlatoon::setDataFilename(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x7F1620,INSIDE,0x7F13F0,859,560
82,ActivePlatoon,?setupLeaderDialogues@ActivePlatoon@@QEAAXXZ,ActivePlatoon::setupLeaderDialogues();,0x2DF780,BINDIFF_EXACT,0x2DF7C0,146,64
83,ActivePlatoon,?isLoaded@ActivePlatoon@@QEBA_NXZ,ActivePlatoon::isLoaded();,0x595B10,INSIDE,0x595AE0,85,48
84,ActivePlatoon,?teleport@ActivePlatoon@@QEAAXAEBVVector3@Ogre@@@Z,ActivePlatoon::teleport(const class Ogre::Vector3 &);,0x37DB30,NEAR,0x37DBD0,35,160
85,ActivePlatoon,?setName@ActivePlatoon@@QEAAXAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"ActivePlatoon::setName(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x4BD9F0,EXACT,0x4BD9F0,80,0
86,ActivePlatoon,?getName@ActivePlatoon@@QEBAAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,ActivePlatoon::getName();,0x411D60,RESOLVED,0x411C00,33,-352
87,ActivePlatoon,?getIsTrader@ActivePlatoon@@QEBA_NXZ,ActivePlatoon::getIsTrader();,0x387820,BINDIFF_EXACT,0x387960,296,320
88,ActivePlatoon,?getHasVendorList@ActivePlatoon@@QEBA_NXZ,ActivePlatoon::getHasVendorList();,0x4FDEC0,REFINED,0x4FDE10,95,-176
89,ActivePlatoon,?getHasSpecialItemsList@ActivePlatoon@@QEBA_NXZ,ActivePlatoon::getHasSpecialItemsList();,0x4FDED0,REFINED,0x4FDE10,95,-192
90,ActivePlatoon,?setupTraderBuildings@ActivePlatoon@@QEAAXXZ,ActivePlatoon::setupTraderBuildings();,0x623500,BINDIFF_EXACT,0x623F90,1999,2704
91,ActivePlatoon,?putTheSpecialCharactersInNewSquads_captured@ActivePlatoon@@QEAAXXZ,ActivePlatoon::putTheSpecialCharactersInNewSquads_captured();,0x79B620,BINDIFF_EXACT,0x79C1C0,3112,2976
92,ActivePlatoon,?checkForCharactersBeingCarried@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::checkForCharactersBeingCarried();,0x79BA60,BINDIFF_EXACT,0x79C600,0,2976
93,ActivePlatoon,?restoreSquad@ActivePlatoon@@QEAAXXZ,ActivePlatoon::restoreSquad();,0x7B50F0,BINDIFF_EXACT,0x7B5C90,3113,2976
94,ActivePlatoon,?_CONSTRUCTOR@ActivePlatoon@@QEAAPEAV1@PEAVPlatoon@@PEAVDataObjectContainer@@PEAVFaction@@PEAVGameData@@PEAVTasker@@AEBVVector3@Ogre@@@Z,,0x4FFA70,BINDIFF_EXACT,0x500500,872,2704
95,ActivePlatoon,?unloadCheck@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::unloadCheck();,0x4FE140,EXACT,0x4FE140,3,0
96,ActivePlatoon,?setupCheck@ActivePlatoon@@QEAA?AVYesNoMaybe@@XZ,ActivePlatoon::setupCheck();,0x4FF040,BINDIFF_EXACT,0x4FFAD0,267,2704
97,ActivePlatoon,?destroyCharacters@ActivePlatoon@@QEAAX_N@Z,ActivePlatoon::destroyCharacters(bool);,0x4FE440,BINDIFF_EXACT,0x4FEED0,176,2704
98,ActivePlatoon,?serialiseCharacterData@ActivePlatoon@@QEAAXXZ,ActivePlatoon::serialiseCharacterData();,0x4FE980,BINDIFF_EXACT,0x4FF410,142,2704
99,ActivePlatoon,?saveToDisk@ActivePlatoon@@QEAAX_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"ActivePlatoon::saveToDisk(bool, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x36BB50,BINDIFF_EXACT,0x36BC90,431,320
100,ActivePlatoon,?_NV_loadCharacters@ActivePlatoon@@QEAAXVVector3@Ogre@@PEAVFactoryCallbackInterface@@@Z,,0x794F90,VTABLE,0xE00C,5,-7892868
101,ActivePlatoon,?_NV_loadInstance@ActivePlatoon@@QEAAXAEAVGameSaveState@@_NAEBVVector3@Ogre@@AEBVQuaternion@4@PEAVFactoryCallbackInterface@@2@Z,,0x36F570,VTABLE,0x1B716,5,-3489370
102,ActivePlatoon,?calculateCurrentPos@ActivePlatoon@@QEAA?AVVector3@Ogre@@XZ,ActivePlatoon::calculateCurrentPos();,0x4FE2C0,BINDIFF_EXACT,0x4FED50,384,2704
103,ActivePlatoon,?_checkForUniqueCharactersOnUnload@ActivePlatoon@@QEAAXXZ,ActivePlatoon::_checkForUniqueCharactersOnUnload();,0x9A7250,BINDIFF_EXACT,0x9A8120,5,3792
104,AnimalInventoryLayout,?_CONSTRUCTOR@AnimalInventoryLayout@@QEAAPEAV1@XZ,,0x155350,INSIDE,0x155220,1706,304
106,AnimalInventoryLayout,?_DESTRUCTOR@AnimalInventoryLayout@@QEAAXXZ,,0x161E60,VTABLE,0x49E4F,5,-1146897
107,AppearanceAnimal,?_CONSTRUCTOR@AppearanceAnimal@@QEAAPEAV1@PEAVAnimationClassAnimal@@PEAVGameDataCopyStandalone@@PEAVCharacter@@@Z,,0x534770,BINDIFF_GOOD,0x535200,5791,2704
108,AppearanceAnimal,?_DESTRUCTOR@AppearanceAnimal@@QEAAXXZ,,0x5347A0,VTABLE,0x3639A,5,-5235718
109,AppearanceAnimal,?_NV_createBody@AppearanceAnimal@@QEAAXXZ,,0x539C50,VTABLE,0x466F5,5,-5191003
110,AppearanceAnimal,?_NV_updateCharaterTexture@AppearanceAnimal@@QEAAXXZ,,0x5347C0,VTABLE,0x43059,5,-5183335
111,AppearanceBase,?_CONSTRUCTOR@AppearanceBase@@QEAAPEAV1@PEAVAnimationClass@@PEAVGameDataCopyStandalone@@PEAVCharacter@@PEAVGameData@@@Z,,0x52FDE0,BINDIFF_EXACT,0x530870,8277,2704
112,AppearanceBase,?_DESTRUCTOR@AppearanceBase@@QEAAXXZ,,0x5317E0,VTABLE,0x29A5A,5,-5275014
113,AppearanceBase,?updateAnimationTransforms@AppearanceBase@@QEAAXXZ,AppearanceBase::updateAnimationTransforms();,0x52B890,BINDIFF_EXACT,0x52C320,56,2704
114,AppearanceBase,?forceUpdateAnimationTransforms@AppearanceBase@@QEAAXXZ,AppearanceBase::forceUpdateAnimationTransforms();,0x52B910,EXACT,0x52B910,38,0
115,AppearanceBase,?_NV_update@AppearanceBase@@QEAAXXZ,,0x5382A0,VTABLE,0x466F5,5,-5184427
116,AppearanceBase,?_NV_periodicUpdate@AppearanceBase@@QEAAXXZ,,0x544450,VTABLE,0x43059,5,-5247991
117,AppearanceBase,?setAppearanceData@AppearanceBase@@QEAAXPEAVGameDataCopyStandalone@@@Z,AppearanceBase::setAppearanceData(class GameDataCopyStandalone *);,0x5378D0,BINDIFF_EXACT,0x538360,1524,2704
118,AppearanceBase,?getAppearanceData@AppearanceBase@@QEBAPEAVGameDataCopyStandalone@@XZ,AppearanceBase::getAppearanceData();,0x5B0650,RESOLVED,0x5B0510,99,-320
119,AppearanceBase,?_NV_activate@AppearanceBase@@QEAAXXZ,,0x52AFD0,VTABLE,0x5094D,5,-5088899
120,AppearanceBase,?_NV_deactivate@AppearanceBase@@QEAAXXZ,,0x530330,VTABLE,0x31444,5,-5238508
121,AppearanceBase,?isFemale@AppearanceBase@@QEBA_NXZ,AppearanceBase::isFemale();,0x53E300,ORDERED,0x53EE60,46,2912
122,AppearanceBase,?_NV_setGender@AppearanceBase@@QEAAX_N@Z,,0x52D0F0,VTABLE,0x4E13E,5,-5107634
123,AppearanceBase,?getRace@AppearanceBase@@QEBAPEAVGameData@@XZ,AppearanceBase::getRace();,0x53E310,ORDERED,0x53EEA0,8,2960
124,AppearanceBase,?chooseBodyMesh@AppearanceBase@@QEAAAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,AppearanceBase::chooseBodyMesh();,0x52C290,BINDIFF_EXACT,0x52CD20,145,2704
125,AppearanceBase,?addWound@AppearanceBase@@QEAAXPEAVWound@@@Z,AppearanceBase::addWound(class Wound *);,0x52FC90,BINDIFF_EXACT,0x530720,8277,2704
126,AppearanceBase,?removeWound@AppearanceBase@@QEAAXPEAVWound@@@Z,AppearanceBase::removeWound(class Wound *);,0x52FD30,BINDIFF_EXACT,0x5307C0,8277,2704
127,AppearanceBase,?attachItem@AppearanceBase@@QEAA_NPEAVItem@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@1@Z,"AppearanceBase::attachItem(class Item *, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x5353C0,BINDIFF_EXACT,0x535E50,1201,2704
128,AppearanceBase,?attachItem@AppearanceBase@@QEAA_NPEAVItem@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"AppearanceBase::attachItem(class Item *, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x5352C0,BINDIFF_EXACT,0x535D50,1201,2704
129,AppearanceBase,?attachHarpoon@AppearanceBase@@QEAA_NPEAVHarpoon@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBVVector3@Ogre@@AEBVQuaternion@6@@Z,"AppearanceBase::attachHarpoon(class Harpoon *, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &, const class Ogre::Vector3 &, const class Ogre::Quaternion &);",0x52B510,BINDIFF_EXACT,0x52BFA0,486,2704
130,AppearanceBase,?attachEffect@AppearanceBase@@QEAAPEAVAttachedEffect@@PEAVGameData@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBVVector3@Ogre@@AEBVQuaternion@7@_NM@Z,"AppearanceBase::attachEffect(class GameData *, const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &, const class Ogre::Vector3 &, const class Ogre::Quaternion &, bool, float);",0x52BDA0,BINDIFF_EXACT,0x52C830,521,2704
131,AppearanceBase,?getAttachedEntity@AppearanceBase@@QEBAPEAVAttachedEntity@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"AppearanceBase::getAttachedEntity(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x52CED0,BINDIFF_EXACT,0x52D960,215,2704
132,AppearanceBase,?detachItem@AppearanceBase@@QEAA_NPEAVItem@@@Z,AppearanceBase::detachItem(class Item *);,0x52D800,BINDIFF_EXACT,0x52E290,492,2704
133,AppearanceBase,?detachItem@AppearanceBase@@QEAA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"AppearanceBase::detachItem(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x52D660,BINDIFF_EXACT,0x52E0F0,492,2704
134,AppearanceBase,?detachHarpoon@AppearanceBase@@QEAA_NPEAVHarpoon@@@Z,AppearanceBase::detachHarpoon(class Harpoon *);,0x52B3F0,BINDIFF_EXACT,0x52BE80,486,2704
135,AppearanceBase,?detachAllHarpoonsT@AppearanceBase@@QEAAXXZ,AppearanceBase::detachAllHarpoonsT();,0x642F50,INSIDE,0x641D80,5260,4560
136,AppearanceBase,?_detachAllHarpoons@AppearanceBase@@QEAAXXZ,AppearanceBase::_detachAllHarpoons();,0x52B180,EXACT,0x52B180,66,0
137,AppearanceBase,?removeEffect@AppearanceBase@@QEAAXPEAVAttachedEffect@@@Z,AppearanceBase::removeEffect(class AttachedEffect *);,0x52B650,INSIDE,0x52B610,82,64
138,AppearanceBase,?updateWetness@AppearanceBase@@QEAAX_N@Z,AppearanceBase::updateWetness(bool);,0x52B9C0,EXACT,0x52B9C0,150,0
139,AppearanceBase,?updateBloodyness@AppearanceBase@@QEAAXXZ,AppearanceBase::updateBloodyness();,0x5300A0,BINDIFF_EXACT,0x530B30,8277,2704
140,AppearanceBase,?getAttachmentPosition@AppearanceBase@@QEAA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEAVVector3@Ogre@@AEAVQuaternion@5@@Z,"AppearanceBase::getAttachmentPosition(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &, class Ogre::Vector3 &, class Ogre::Quaternion &);",0x52D910,INSIDE,0x52D850,259,192
141,AppearanceBase,?hasSlot@AppearanceBase@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"AppearanceBase::hasSlot(const class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x5E7C80,BINDIFF_EXACT,0x5E8710,140,2704
